
# e groceteria,Food Service Establishment 1,Vancouver - City Centre,1308 Burrard St Vancouver BC V6Z 2B7 Canada,(604) 559-6863,/Facility/Details/db951079-e67c-45ee-b239-55519e6ba4d8
#1 Orchard,Retail Food Store,Vancouver - City Centre,1689 Johnston St Vancouver BC V6H 3R9 Canada,(604) 728-5449,/Facility/Details/29e9ebcd-7cbd-4fd5-8c57-d5f613627819
#9 Restaurant,Food Service Establishment 1,Richmond,812-5300 No. 3 Road Richmond BC V6X 2X9 Canada,(604) 278-7700,/Facility/Details/6aa4eb7d-17ac-4956-bfc6-bd54a5999724
Mega ill,Food Service Establishment 1,Vancouver - Midtown,646 Kingsway Vancouver BC V5T 3K4 Canada,604-360-0230,/Facility/Details/b9b38644-7b72-44de-bb86-7527bb636008
Mega Sushi,Food Service Establishment 1,Richmond,100 3131 Chatham St Richmond BC V7E 2Y4 Canada,(604) 447-0773,/Facility/Details/a3db67cb-b1e0-4885-a439-d6e2476c714d
Mega Sushi,Food Service Establishment 1,District of West Vancouver,5353 Headland Drive West Vancouver BC V7W 3C7 Canada,(604) 281-0200,/Facility/Details/fa69e65c-0da3-4617-98cd-b15857f0c960
Megabite Pizza,Food Service Establishment 1,Vancouver - City Centre,1005 Granville St Vancouver BC V6Z 1L4 Canada,(604) 722-0438,/Facility/Details/0a2e370b-67df-4ec6-96f3-72e71e065b54
Megabite Pizza,Food Service Establishment 1,Vancouver - City Centre,820 Thurlow Vancouver BC V6E 1W2 Canada,604-688-2729,/Facility/Details/eb688263-58af-4758-9048-a82871e52231
Megabite Pizza,Food Service Establishment 1,Vancouver - City Centre,1112 Davie St Vancouver BC V6E 1N1 Canada,(604) 801-5150,/Facility/Details/ba7479bc-d77b-47e2-b270-91dade4d0717
Megabite Pizza,Food Service Establishment 1,Vancouver - Downtown Eastside,1110 Commercial Dr Vancouver BC V5L 3X2 Canada,(604) 255-1744,/Facility/Details/e0bc6b82-d105-443a-996f-0c135e9e5a4d
Megabite Pizza,Food Service Establishment 1,Vancouver - City Centre,#106-1833 Anderson St Vancouver BC V6H 4E5 Canada,(604) 703-0888,/Facility/Details/41a310d1-4c82-42d9-ae06-ecb6749338f9
Megabite Pizza - (Hub Station),Food Service Establishment 1,Vancouver - Downtown Eastside,2440 Commercial Dr Vancouver BC V5N 4B9 Canada,(604) 874-8758,/Facility/Details/b136e21b-2517-49fc-9162-10bbaf61c17a
Mehman,Food Service Establishment 1,City of North Vancouver,1451 Lonsdale Avenue North Vancouver BC V7L 2J3 Canada,(778) 340-0200,/Facility/Details/2c9dfa81-54f9-4c29-a51a-85c5716cd9d1
Mei Jan Hong Singapore Beef & Pork Jerky,Food Service Establishment 1,Richmond,1850-4151 Hazelbridge Way Richmond BC V6X 4J7 Canada,(604) 288-1840,/Facility/Details/20427888-1b50-4bee-b457-e0da368bc3df
Mei Yee Bakery,Food Service Establishment 1,Vancouver - Midtown,5692 Victoria Dr Vancouver BC V5P 3W4 Canada,(604) 325-3323,/Facility/Details/8c9cbf48-9c05-4c83-a5d1-313bfe219ac8
Meinhardt Fine Foods,Food Service Establishment 1,Vancouver - City Centre,3002 Granville St Vancouver BC V6H 3J8 Canada,(604) 732-4405,/Facility/Details/e56372ca-2993-4400-aaa3-ccff983ac811
Meinhardt Fine Foods - A Division of Buy- Low Foods LP,Food Service Establishment 1,Vancouver - City Centre,3002 Granville St Vancouver BC V6H 3S8 Canada,(604) 723-4405,/Facility/Details/20d2491d-42ff-45c2-a0d3-1724a507435a
Meinhardt Fine Foods - Pacific Centre,Food Service Establishment 1,Vancouver - City Centre,D037B-609 Granville St Vancouver BC V7Y 1H4 Canada,604-738-3155,/Facility/Details/5832ab2d-8f52-40cc-bccf-35c9abd1d7cc
Meinhardt Fine Foods Inc (RETAIL),Retail Food Store,Vancouver - City Centre,3002 Granville St Vancouver BC V6H 3J8 Canada,(604) 732-4405,/Facility/Details/881556b8-9c50-11d3-baa9-005004ae1145
Meinhardt Fine Foods Store - Pacific Centre,Retail Food Store,Vancouver - City Centre,D037B-609 Granville St Vancouver BC V7Y 1H4 Canada,(604) 681-8175,/Facility/Details/e9bb04cb-2d5f-4622-93ea-25125543d988
Meishan Dong Po,Food Service Establishment 1,Vancouver - Midtown,3420 Cambie St Vancouver BC V5Z 2W8 Canada,(778) 379-9388,/Facility/Details/6de8822d-6df0-4e33-8289-aad3a65f8e1b
Melitta Coffee Van - BC Lic AN1921,Processor,City of North Vancouver,552 4 E North Vancouver BC V7L 1J6 Canada,604-984-0942,/Facility/Details/75a966c3-73bb-4de7-9ed8-608264d9af66
Melody House Group Homes Inc - KITCHEN,Food Service Establishment 2,Vancouver - Westside,1732 Macdonald St Vancouver BC V6K 3X8 Canada,(604) 733-4997,/Facility/Details/39b302eb-85cd-42cb-9e9e-6b595396778d
Meloty Fine Tea Company Ltd,Food Service Establishment 1,Richmond,1161-8328 Capstan Way Richmond BC V6X 4B4 Canada,(604) 214-4691,/Facility/Details/14a01291-717b-4178-8c53-42e98e68fdd0
Melriches Coffee House,Food Service Establishment 1,Vancouver - City Centre,1244 Davie St Vancouver BC V6E 1N3 Canada,(604) 689-5282,/Facility/Details/b93f95d2-546b-4654-a071-d3dc13734f37
Melt City Grilled Cheese 1,Mobile Food Service (Type 2),Vancouver - Downtown Eastside,547 E Hastings St Vancouver BC V6A 1P9 Canada,(604) 448-2105,/Facility/Details/9946d93e-851f-4638-98ba-7765347610cb
Melt City Grilled Cheese 2,Mobile Food Service (Type 3),Vancouver - Downtown Eastside,547 E Hastings St Vancouver BC V6A 1P9 Canada,(604) 448-2105,/Facility/Details/7ac92033-8b0b-453b-a897-3de43d1f0c83
Melu Juice + Health Bar,Food Service Establishment 1,Vancouver - City Centre,1110 W Pender St Vancouver BC V6E 2S1 Canada,(778) 379-6538,/Facility/Details/27b9f4bf-a18d-4689-b41a-af03b83a815b
Melville Cafe,Food Service Establishment 1,Vancouver - City Centre,1170 Melville Vancouver BC V6E 4P6 Canada,604-681-9997,/Facility/Details/5b034a84-c145-4db5-a9dc-d80e7f7e0954
Memorial South Park - Little League Concession,Food Service Establishment 1,Vancouver - South,5955 Ross Vancouver BC V5W 1T7 Canada,604-323-4403,/Facility/Details/69f48f28-140b-4016-82a9-6801bf54afaf
Memory Corner,Food Service Establishment 1,Richmond,6900 No. 3 Road Richmond BC V6Y 2C5 Canada,(604) 284-5434,/Facility/Details/10ab5f4d-794b-426d-a9d6-e48faf10b4b9
Memphis Blues Barbeque House,Food Service Establishment 1,Vancouver - Downtown Eastside,1342 Commercial Dr Vancouver BC V5L 3X5 Canada,(604) 215-2599,/Facility/Details/d27bd9c8-e5ee-4889-8a81-d9284365b434
Memphis Blues Barbeque House Ltd,Food Service Establishment 1,Vancouver - City Centre,1465 W Broadway Vancouver BC V6H 1H6 Canada,(604) 738-6852,/Facility/Details/023ce2e5-9b07-11d5-a6ab-00104b766e16
Memphis Blues BBQ House,Food Service Establishment 1,Vancouver - City Centre,430 Robson St Vancouver BC V6B 0H3 Canada,(604) 682-6220,/Facility/Details/bfbccf7e-0e09-4073-a514-8d295c787e32
Men No Kura,Food Service Establishment 1,Vancouver - City Centre,1773 Robson St Vancouver BC V6G 1C9 Canada,(778) 379-5872,/Facility/Details/ba7b0801-4409-4028-b9f9-f56f90216d06
Menchie's,Food Service Establishment 1,Whistler,21-4314 Main St Whistler BC V0N 1B4 Canada,(604) 962-8000,/Facility/Details/4418de13-8356-4da1-a8b3-7523a3292ce3
Menchies Frozen Yogurt,Food Service Establishment 1,Vancouver - City Centre,2315 Cambie St Vancouver BC V5Z 2T9 Canada,(604) 558-1232,/Facility/Details/94a8b13c-6ced-45d1-9c73-1061b5e0708a
Menchies Frozen Yogurt,Food Service Establishment 1,Vancouver - Westside,2263 W 41st Ave Vancouver BC V6M 2A3 Canada,(604) 355-4171,/Facility/Details/019c4a53-8cd3-4eab-9ee6-403bb844e915
Menchie's Frozen Yogurt,Food Service Establishment 1,City of North Vancouver,100 2 Street E North Vancouver BC V7L 1C3 Canada,778-340-6655,/Facility/Details/5e14a04f-c4c6-46ae-8218-4d513a5a1053
Menchie's Frozen Yogurt,Food Service Establishment 1,Richmond,135-8100 No. 2 Road Richmond BC V7C 1H8 Canada,(604) 284-2811,/Facility/Details/25205564-d477-42df-bc10-85915e276748
Menchie's Frozen Yogurt,Food Service Establishment 1,Vancouver - City Centre,412 Davie St Vancouver BC V6B 2G3 Canada,(604) 720-1357,/Facility/Details/947b2945-6523-4906-b44c-910f15716ed2
Menchie's Frozen Yogurt,Food Service Establishment 1,Richmond,110-12480 No. 1 Road Richmond BC V7E 0A2 Canada,(604) 284-2253,/Facility/Details/ff58a48d-6a96-42fa-a3cc-9f883adc233f
Menchie's Frozen Yogurt UBC,Food Service Establishment 1,Vancouver - Westside,3358 Wesbrook Mall Vancouver BC V6S 0A8 Canada,(604) 558-1622,/Facility/Details/069b24ef-8848-4168-916d-6fc04fed792b
Menchies Kits,Food Service Establishment 1,Vancouver - Westside,2579 W Broadway Vancouver BC V6K 2E9 Canada,(604) 899-5487,/Facility/Details/6fd26801-1b46-4d4a-a10b-53e3ce7ba27a
Mensch Jewish Delicatessen,Food Service Establishment 1,Vancouver - Midtown,666 E Broadway Vancouver BC V5T 1X6 Canada,(604) 657-6119,/Facility/Details/1c7a2a88-0898-48ac-b32b-1bb61e7664cc
Menu - 604,Food Service Establishment 1,Vancouver - Downtown Eastside,164 W Hastings St Vancouver BC V6B 1G8 Canada,(604) 808-3639,/Facility/Details/22f5bb68-813c-4e18-8604-0b3ab47689e3
Menya Japanese Noodle,Food Service Establishment 1,Vancouver - Midtown,401 W Broadway Vancouver BC V5Y 1R4 Canada,(604) 873-3277,/Facility/Details/9caf3f11-bac5-4305-90f2-449c5f779e6b
Menya Kouji Enterprises Inc,Food Service Establishment 1,Vancouver - Downtown Eastside,288 E Pender St Vancouver BC V6A 1T7 Canada,(604) 437-0010,/Facility/Details/d87212fa-3fa6-42f2-b41c-3b2f30a12580
Merchants Oyster Bar,Food Service Establishment 1,Vancouver - Downtown Eastside,1590 Commercial Dr Vancouver BC V5L 3Y2 Canada,(604) 258-0005,/Facility/Details/54a66f03-2596-41ab-bd34-5b106585e9c9
Meridian Farm Market Ltd.,Retail Food Store,City of North Vancouver,1449 Marine Dr North Vancouver BC V7P 1T6 Canada,(604) 984-7373,/Facility/Details/4ad6ad21-ccd1-4a75-8c39-7c792296077b
Meridian Farm Market Ltd.,Food Service Establishment 1,District of North Vancouver,1449 Marine Drive North Vancouver BC V7P 1T5 Canada,604-984-7373,/Facility/Details/46daf3bb-0ce5-4fd9-afd6-f867a50b199c
Merienda Bakeshop,Food Service Establishment 1,Vancouver - Midtown,4172 Fraser St Vancouver BC V5V 4E8 Canada,(604) 872-1133,/Facility/Details/819b49cb-d506-4e92-a094-e68f8d3e47ea
Merlin's Lounge,Food Service Establishment 1,Whistler,4545 Blackcomb Way Whistler BC V0N 1B4 Canada,(999) 999-9999,/Facility/Details/4197ca2d-abb3-4e16-af0f-20e7e5d62900
Meshiya Hachibei Japanese Restaurant,Food Service Establishment 1,Vancouver - Midtown,778 W 16th Ave Vancouver BC V5Z 1S7 Canada,(604) 879-3357,/Facility/Details/03123b0e-3abc-42d3-9fb2-8a20e0c62ef1
Metro Coffee Bar Billiards,Food Service Establishment 1,Vancouver - North East,3175 Kingsway Vancouver BC V5R 5K2 Canada,(604) 437-9613,/Facility/Details/b644d3e9-fb42-4bc2-b7b8-ac2630858af3
Metro Marine Corporation,Non-processor,Richmond,165-11280 Twigg Place Richmond BC Canada,(604) 644-3129,/Facility/Details/29d915ed-6354-46fc-97cc-563164f642c1
Metro Theatre,Food Service Establishment 1,Vancouver - South,1370 Marine SW Vancouver BC V6P 5Z9 Canada,604-266-7191,/Facility/Details/ff5bd83f-9bb1-11d3-baa8-005004ae1145
Metro Town Pantry,Retail Food Store,Vancouver - North East,2918 Kingsway Vancouver BC V5R 5S3 Canada,604-437-0822,/Facility/Details/795bb0c5-2c72-4dfe-98d9-e385f473f3d2
Metropolitan Commissary,Processor,Vancouver - Midtown,419 Industrial Ave Vancouver BC V6A 2P8 Canada,(604) 681-1991,/Facility/Details/865f48b5-d479-4c5b-bda7-646afba8c0aa
Metropolitan Hotel - Catering,Food Service Establishment 1,Vancouver - City Centre,645 Howe St Vancouver BC V6C 2Y9 Canada,(604) 687-1122,/Facility/Details/65672529-3178-44e1-9502-db15902b898e
Metropolitan Hotel - Chatter Box,Food Service Establishment 1,Vancouver - City Centre,645 Howe St Vancouver BC V6C 2Y9 Canada,(604) 687-1122,/Facility/Details/a0c72a42-af39-43f8-92fe-70c3bb26d1e8
Metropolitan Hotel - Cristal Banquet Kitchen,Food Service Establishment 1,Vancouver - City Centre,645 Howe St Vancouver BC V6C 2Y9 Canada,(604) 687-1122,/Facility/Details/3f0e72cf-0b3c-4d0a-8f9a-f4317b4551e0
Metropolitan Hotel - Diva At The Met,Food Service Establishment 1,Vancouver - City Centre,645 Howe St Vancouver BC V6C 2Y9 Canada,(604) 687-1122,/Facility/Details/763f1301-de24-4dc2-91d8-50dfcebfd209
Metropolitan Quality Meats,Processor,Vancouver - Midtown,421 Industrial Vancouver BC V6A 2P8 Canada,604-681-1991,/Facility/Details/3abd6bf3-d426-4144-8e43-d424cfd568a2
Mex Pro Kitchens Inc.,Food Service Establishment 1,District of North Vancouver,1305 Welch Street North Vancouver BC V7P 1B3 Canada,778-889-4400,/Facility/Details/726d8590-a746-49c1-8189-149e73d2394b
Mexi-Cali,Food Service Establishment 1,Vancouver - Westside,4424 Dunbar St Vancouver BC V6S 2G5 Canada,(604) 731-6517,/Facility/Details/a2052437-14b2-4f6a-acd1-ab4866d4b060
Mexican Corner Commissary,Processor,Whistler,4-1020 Millar Creek Rd Whistler BC V0N 1B1 Canada,(604) 935-0777,/Facility/Details/09986a1e-46a4-45d0-95a0-6d2b288dcfa6
Mexico Trading Co. Ltd.,Non-processor,Richmond,145-21320 Gordon Way Richmond BC V6W 1J8 Canada,(604) 277-1705,/Facility/Details/c1abb68a-1680-11d7-8952-00a083371b06
Mezbaan Restaurant,Food Service Establishment 1,Vancouver - North East,3499 Kingsway Vancouver BC V5R 5L5 Canada,604-438-0404,/Facility/Details/af27cb74-d8ec-41f9-a4fc-d3bd7fb38dd6
Mezz Cafe & Lounge,Food Service Establishment 1,Richmond,110-13100 Mitchell Road Richmond BC V6V 1M8 Canada,(604) 325-5128,/Facility/Details/c9007ba3-f29f-48d1-ade2-e99921b1d4af
MGM Fit Foods,Processor,Vancouver - Downtown Eastside,477 Powell St Vancouver BC V6A 1G7 Canada,(604) 254-0477,/Facility/Details/ad4dc747-4193-42b0-ad18-0b42c3936c97
Mi Mary's Noodle and Liquor Bar,Food Service Establishment 1,Vancouver - Westside,3188 MacDonald St Vancouver BC V6K 4W7 Canada,(604) 282-1285,/Facility/Details/4438708a-2097-44a3-ae29-9cb1d8537a78
MIA Nightclub,Food Service Establishment 1,Vancouver - Downtown Eastside,350 Water St Vancouver BC V6B Canada,604-681-2114,/Facility/Details/2e6ee859-6dbc-4e9e-b096-90d887aad13f
Miao's Foods,Processor,Richmond,104-5560 Minoru Boulevard Richmond BC V6X 2A9 Canada,604-270-3885,/Facility/Details/6aea2d5d-e8c0-4e07-bd8d-20639cd9d1cc
Michaels,Retail Food Store,District of West Vancouver,A1-1000 Main St West Vancouver BC V7T 2Z3 Canada,,/Facility/Details/771c5aed-8eb7-446a-ae09-49d1e649c0cd
Michael's Discount Foods,Retail Food Store,Vancouver - South,7295 Main Vancouver BC V5X 3J3 Canada,604-321-8943,/Facility/Details/541c4345-e69e-11d6-b279-005004f259b2
Michele Cake Shop,Food Service Establishment 1,Vancouver - Westside,6033 W Blvd Vancouver BC V6M 3X2 Canada,(604) 261-3284,/Facility/Details/adfc2f3b-3feb-40c9-8456-73e81964a0ef
Micky's Enterprise Ltd.,Retail Food Store,Richmond,100-6020 No. 3 Road Richmond BC V6Y 2B3 Canada,(604) 303-6425,/Facility/Details/60843220-7c4d-11d5-8952-00a0833b1791
Microsoft - Espresso Bar #63396,Food Service Establishment 1,Vancouver - City Centre,725 Granville St Vancouver BC V7Y 1G5 Canada,,/Facility/Details/d1682232-24cf-400a-8545-b0f36c36a324
Miele Limited,Food Service Establishment 1,Vancouver - Downtown Eastside,69 Smithe St Vancouver BC V6B 1C3 Canada,(604) 434-1309,/Facility/Details/2c205c93-f142-473d-9394-3a8ac353ead1
Mihaela's Kitchen,Food Service Establishment 1,Squamish,Bay 2-38931 Production Way Squamish BC V8B 0G5 Canada,(604) 848-5070,/Facility/Details/d2a9788c-0da8-4d37-b689-5c58492c8d70
Mike Hot Dog Cart #B,Mobile Food Service (Type 2),Vancouver - Downtown Eastside,1836 Triumph St Vancouver BC V5L 1K3 Canada,(604) 230-4038,/Facility/Details/c83cb4e0-b183-4b78-86cf-4fe65d5b67e8
Mike's Place,Food Service Establishment 1,Gibsons,268 Gower Point Rd. Gibsons BC V0N 1V0 Canada,(604) 886-5320,/Facility/Details/cd322857-9419-461d-a182-cbaae0215cf5
Miko Sushi,Food Service Establishment 1,Vancouver - City Centre,1335 Robson St Vancouver BC V6E 1C6 Canada,604-681-0339,/Facility/Details/ff5bd8a4-9bb1-11d3-baa8-005004ae1145
Miku Restaurant,Food Service Establishment 1,Vancouver - City Centre,#70-200 Granville St Vancouver BC V6C 1S4 Canada,(604) 568-3900,/Facility/Details/a0419435-a45a-4ea8-b2fc-0af598661451
Mikuni Marketing Ltd,Non-processor,Vancouver - South,9235 Shaughnessy Vancouver BC V6P 6R5 Canada,250-861-4451,/Facility/Details/5d10440b-bf5c-4304-9f04-16a2b49d47b0
Milano Coffee & Gelato,Food Service Establishment 1,Vancouver - City Centre,849 Denman St Vancouver BC V6G 2L7 Canada,(604) 803-8521,/Facility/Details/b9d11122-386b-4067-9c00-e797a02c6e72
Milano Coffee Ltd,Processor,Vancouver - Midtown,156 8 W Vancouver BC V5Y 1N2 Canada,604-879-4468,/Facility/Details/52901a54-5684-4916-91c6-e3eaa8672a27
Milano Coffee Roasters,Food Service Establishment 1,Vancouver - Downtown Eastside,36 Powell Vancouver BC V6A 1E7 Canada,604-588-0999,/Facility/Details/6edbdd4a-2398-4dfe-a2a4-966a6093220e
Mile One Eating House,Food Service Establishment 1,Pemberton,7330 Arbutus St Pemberton BC V0N 2L1 Canada,(604) 698-5068,/Facility/Details/1b98e596-cd1c-4f1c-b34a-3200c050a11f
Milestone's,Food Service Establishment 1,Richmond,W3032.1-3211 Grant McConachie Way Richmond BC V7B 1W2 Canada,(604) 231-3731,/Facility/Details/81091d85-c392-4d70-8f7c-7f506d80c879
Milestones - Whistler,Food Service Establishment 1,Whistler,4555 Blackcomb Way Whistler BC V0N 1B4 Canada,(604) 389-4927,/Facility/Details/5d8a3cce-2264-4a28-9d20-73be2eb96dc6
Milestone's Restaurant - Park Royal,Food Service Establishment 1,District of West Vancouver,1096 Park Royal S West Vancouver BC V7T 1A1 Canada,604-925-9825,/Facility/Details/828f9637-d511-4082-bf48-6cb2a3782767
Milestones Restaurants Inc - Denman,Food Service Establishment 1,Vancouver - City Centre,1210 Denman St Vancouver BC V6G 2N2 Canada,(604) 662-3431,/Facility/Details/21dffc72-9e93-4fb6-9423-764732569ce9
Milestones Restaurants Inc - Robson,Food Service Establishment 1,Vancouver - City Centre,1145 Robson St Vancouver BC V6E 1B5 Canada,(604) 682-4477,/Facility/Details/521473bb-89b9-4826-b28b-2c9bcea58a94
Milestones Restaurants Inc - Yaletown,Food Service Establishment 1,Vancouver - City Centre,1109 Hamilton St Vancouver BC V6B 2Y1 Canada,(604) 684-9111,/Facility/Details/f2f7a37f-d9f2-446f-8937-a0b88b600b1b
Milk & Sugar Cafe,Food Service Establishment 1,Vancouver - South,#101-3365 Kingsway Vancouver BC V5R 5K6 Canada,(778) 997-0767,/Facility/Details/c44cb462-a363-4bd1-9d6d-53c28af99d1d
Millenium Karaoke Ltd.,Food Service Establishment 1,Richmond,201-4451 No. 3 Road Richmond BC V6X 2C3 Canada,(604) 273-0005,/Facility/Details/7da9ceed-8879-49ea-88a2-9793574853e5
Millennium Tower,Food Service Establishment 1,Vancouver - City Centre,1175 Broughton St Vancouver BC V6G 2B3 Canada,(604) 408-9897,/Facility/Details/cdda3614-e559-4f86-a008-078ed9186a97
Milltown Bar & Grill,Food Service Establishment 1,Richmond,101-9191 Bentley Street Richmond BC V6P 6G2 Canada,604-269-2348,/Facility/Details/10a6b004-b1cb-4489-bd4f-b442523a6b15
Mimibuloveme,Food Service Establishment 1,Vancouver - Midtown,5556 Cambie St Vancouver BC V5Z 3A2 Canada,(604) 327-6368,/Facility/Details/666fbdee-6d75-4aec-b76a-01337fa70490
Minami Restaurant,Food Service Establishment 1,Vancouver - City Centre,1118 Mainland St Vancouver BC V6B 2T9 Canada,(604) 685-8080,/Facility/Details/869187d1-01d7-410e-b476-f4fc3bd2d397
Minami Restaurant - Dining Room,Food Service Establishment 1,Vancouver - City Centre,1118 Mainland St Vancouver BC V6B 2T9 Canada,(604) 685-8080,/Facility/Details/047545fc-380d-4b76-812b-2bdc7c386bd1
Minato Japanese Restaurant,Food Service Establishment 1,Vancouver - City Centre,992 W Broadway Vancouver BC V5Z 1K7 Canada,(604) 732-6554,/Facility/Details/95655def-a82c-42ec-af4d-67a17a85ec63
Minato Sushi,Food Service Establishment 1,Vancouver - City Centre,#102-1001 W Broadway Vancouver BC V6H 4B1 Canada,(604) 732-6554,/Facility/Details/cf64d325-e560-446c-b604-b7d43f07913d
Minato Sushi,Food Service Establishment 1,Powell River,#108-4801 Joyce Avenue Powell River BC V8A 3B7 Canada,(604) 485-6118,/Facility/Details/f815ce6d-f8a4-49c8-94d1-d7f92f971c85
Minerva Mediterranean Deli,Food Service Establishment 1,Vancouver - Westside,3207 W Broadway Vancouver BC V6K 2H5 Canada,604-733-3956,/Facility/Details/3b67f67f-39c7-4d77-8b5c-3f8c90a9122d
Minerva Pizza & Restaurant Ltd,Food Service Establishment 1,Vancouver - Westside,2411 W 41st Ave Vancouver BC V6M 2A5 Canada,(604) 263-1774,/Facility/Details/ff5bd5d3-9bb1-11d3-baa8-005004ae1145
Ming Fong Fast Food Ltd,Food Service Establishment 1,Vancouver - Downtown Eastside,#110-180 Keefer St Vancouver BC V6A 4E9 Canada,(604) 687-8223,/Facility/Details/892bb150-094b-4204-b90d-c7136be6dc5a
Ming Tak Hong Kong Style Restaurant,Food Service Establishment 1,Vancouver - South,8363 Granville St Vancouver BC V6P 4Z8 Canada,(604) 263-1388,/Facility/Details/9bf28ab2-8ea7-4ec9-a327-db16a95f5765
Ming's Garden Chinese Restaurant,Food Service Establishment 1,City of North Vancouver,965 Marine Drive North Vancouver BC V7P 1S4 Canada,604-985-8115,/Facility/Details/a099b613-9926-4280-8748-7114a490a631
Mini Super,Retail Food Store,Vancouver - Westside,202-5728 University Blvd Vancouver BC V6T 1K6 Canada,(604) 563-5444,/Facility/Details/025000bc-8a0a-4dac-b3cc-f005c2f7cb6c
Mink A Chocolate Cafe,Food Service Establishment 1,Vancouver - City Centre,863 Hastings St W Vancouver BC V6C 3N9 Canada,(604) 633-2451,/Facility/Details/3834a0d9-b8a3-4b1b-8a38-7481d84a535d
Minnano Konbiniya,Retail Food Store,Vancouver - City Centre,1240 Robson St Vancouver BC V6E 1C1 Canada,(604) 682-3634,/Facility/Details/88155331-9c50-11d3-baa9-005004ae1145
Minoru Park Concession,Food Service Establishment 1,Richmond,7191 Granville Avenue Richmond BC V6Y 1N9 Canada,(604) 241-9094,/Facility/Details/efe7c144-c7c7-47df-bd1a-5c25f2f787f6
Minoru Place,Food Service Establishment 1,Richmond,7660 Minoru Gate Richmond BC V6Y 1A9 Canada,604-718-8461,/Facility/Details/cdfdafd8-d868-49d4-969d-0dcd5f9ffc35
Minoru Residence-Extended Care Unit,Food Service Establishment 2,Richmond,7333 Gollner Avenue Richmond BC V6Y 1Y4 Canada,,/Facility/Details/1360f03b-270f-49cd-9d8b-fb3e92d5e333
Mirchi Restaurant,Food Service Establishment 1,Vancouver - South,7964 Granville St Vancouver BC V6P 4Z2 Canada,604-266-7000,/Facility/Details/5fed2539-9528-4feb-81d3-87bc40f38433
Misono Premium Meat,Retail Food Store,Richmond,160-7971 Alderbridge Way Richmond BC Canada,,/Facility/Details/aa692452-4427-4159-9582-aa991f0df1ea
Miss Me Yet?,Food Service Establishment 1,Vancouver - Westside,3468 W Broadway Vancouver BC V6R 2B3 Canada,604-559-8466,/Facility/Details/08aafccb-bc19-4996-87ed-ea1989a13a8e
Miss Siam,Mobile Food Service (Type 3),Vancouver - Downtown Eastside,1836 Triumph St Vancouver BC V5L 1K3 Canada,(778) 985-8544,/Facility/Details/ffc41470-419f-4a3b-ab56-0d0dd447c5a2
Miss T's Wholesale Bakery,Processor,Vancouver - Midtown,118 6 W Vancouver BC V5Y 1K6 Canada,604-688-3503,/Facility/Details/263379d3-b810-49d1-82d9-dbc0440e04b8
Mission Possible,Food Service Establishment 1,Vancouver - Downtown Eastside,543 Powell Vancouver BC V6A 1G8 Canada,604-253-4469,/Facility/Details/95e96754-7996-4c27-b412-cb6950add05e
Mission Restaurant,Food Service Establishment 1,Vancouver - Westside,2042 W 4th Ave Vancouver BC V6J 1M9 Canada,(604) 739-2042,/Facility/Details/913f7823-130d-4a0b-a2f5-d55fef61f0c6
Mister Ice Cream,Food Service Establishment 1,Vancouver - City Centre,1141 Mainland St Vancouver BC V6B 5P2 Canada,(778) 927-5120,/Facility/Details/8c95f5d2-4c0d-4a5b-a6ef-9a987227bf10
Misty Mountain,Processor,Richmond,130-13900 Maycrest Way Richmond BC V6V 3E2 Canada,(604) 273-8299,/Facility/Details/cc636da5-5d0c-4d68-ab4c-cde46ee74e5c
Misty Mountain Ice,Processor,Powell River,4760 Bowness Avenue Powell River BC V8A 3S3 Canada,(604) 485-2677,/Facility/Details/6b8982f5-eca7-4417-be45-147f0d2920d0
Mitchell Brothers Merchants Ltd. (Deli),Food Service Establishment 1,Powell River,5687 Manson Ave Powell River BC V8A Canada,(604) 483-4011,/Facility/Details/533d1368-b72b-4ab8-986e-a0b5336dd922
Mitchell Brothers Merchants Ltd. (Store),Retail Food Store,Powell River,5687 Manson Ave Powell River BC V8A Canada,(604) 483-4011,/Facility/Details/b6aaf298-0999-45c7-afd8-ce7adad72855
Mitchell Island Cafe & Deli,Food Service Establishment 1,Richmond,100-11528 Twigg Place Richmond BC V6V 2Y5 Canada,(604) 322-1077,/Facility/Details/88041817-366f-4184-8731-81729d1eacba
Mitra Canteen / Uncle Abe's,Food Service Establishment 1,Vancouver - Midtown,3034 Main St Vancouver BC V5T 3G5 Canada,(604) 874-9820,/Facility/Details/05400f2f-7bfb-495b-beb7-a5a610509188
Mitra's Bulk Food & Deli,Food Service Establishment 1,District of West Vancouver,1451 Clyde Avenue West Vancouver BC V7T 1E9 Canada,913-0660,/Facility/Details/87933ad3-f7fa-4e44-bb97-91f406d0ad1e
Mitra's Bulk Foods,Retail Food Store,District of West Vancouver,1451 Clyde Avenue West Vancouver BC Canada,,/Facility/Details/78c03b6a-3ef7-4912-a70c-f24aecceb863
Miura Restaurant & Bar,Food Service Establishment 1,Vancouver - Midtown,2521 Main St Vancouver BC V5T 3E5 Canada,(604) 687-2909,/Facility/Details/238049bd-564e-460b-b2b4-f7c922c1b965
MIX The Bakery,Food Service Establishment 1,Vancouver - Westside,4430 W 10th Ave Vancouver BC V6R 2H9 Canada,(604) 221-4145,/Facility/Details/4706ee9f-77d5-4f7f-ac8e-96067aefdd5e
